customer_id,monthly_spend_delta_pct,salary_credit_variance,emi_to_income_ratio_new,merchant_category_shift_score,peer_transfer_anomaly_score,utility_bill_location_change,sip_initiation_flag,balance_floor_volatility,life_event_label
CUST_00045,-9.3805,-0.0973,0.0435,0.0568,0.2584,0,1,0.0818,retirement_approach
CUST_00046,14.217,-0.2057,0.3655,0.4411,0.2844,0,0,0.4728,vehicle_purchase
CUST_00047,27.6534,0.2164,0.0325,0.5047,0.2577,0,0,0.0827,travel_pattern
CUST_00048,41.0859,0.583,0.1173,0.583,0.4254,0,0,0.1413,job_change
CUST_00049,35.8381,0.3461,0.2003,0.6571,0.4121,0,0,0.0706,job_change
CUST_00050,42.2292,-0.1593,0.421,0.7395,0.4244,0,0,0.075,marriage
CUST_00051,40.3467,-0.034,0.3298,0.6449,0.0568,0,0,0.5741,medical_event
CUST_00052,37.9087,-0.1399,0.1514,0.577,0.4092,0,0,0.176,travel_pattern
CUST_00053,47.3838,0.1031,0.1816,0.6509,0.0771,0,0,0.3941,medical_event
CUST_00054,18.1799,-0.0434,0.0608,0.6523,0.5372,1,0,0.0738,relocation
CUST_00055,35.2764,-0.2045,0.3314,0.5389,0.075,0,0,0.5858,medical_event
CUST_00056,15.3872,0.1034,0.3207,0.2956,0.0266,0,0,0.2163,vehicle_purchase
CUST_00057,2.8911,0.0325,0.0545,0.0765,0.0056,0,1,0.1526,retirement_approach
CUST_00058,-1.6471,-0.0407,0.1093,0.2054,0.2884,0,1,0.1438,retirement_approach
CUST_00059,17.6637,-0.2166,0.2652,0.6433,0.0688,0,0,0.3679,medical_event
CUST_00060,60.9717,0.5409,0.1426,0.0628,0.1992,0,1,0.3199,windfall_bonus
CUST_00061,29.2753,-0.2123,0.1719,0.7746,0.4862,1,0,0.1002,relocation
CUST_00062,51.3637,0.3647,0.1637,0.1866,0.0256,0,0,0.2641,salary_hike
CUST_00063,-1.2494,-0.0637,0.0019,0.1523,0.119,0,0,0.1538,retirement_approach
CUST_00064,32.4222,-0.0011,0.2019,0.4684,0.3598,1,0,0.1522,travel_pattern
CUST_00065,48.3802,0.0421,0.1379,0.5516,0.053,0,0,0.4285,new_child
CUST_00066,59.0963,0.5583,0.1403,0.0808,0.1516,0,1,0.2219,windfall_bonus
CUST_00067,55.1526,0.5089,0.1996,0.1483,0.202,0,0,0.2143,salary_hike
CUST_00068,1.8325,0.0078,0.4443,0.0561,0.2669,0,0,0.4793,education_loan
CUST_00069,40.0566,0.4522,0.1379,0.1059,0.2266,0,1,0.1134,salary_hike
CUST_00070,35.3001,0.1116,0.2289,0.546,0.3931,0,0,0.0607,travel_pattern
CUST_00071,35.6225,0.4501,0.1035,0.0641,0.0393,0,0,0.2047,salary_hike
CUST_00072,18.9438,0.0092,0.186,0.7041,0.1268,0,0,0.5524,medical_event
CUST_00073,16.7276,0.0675,0.0475,0.5155,0.5164,0,0,0.1678,digital_shift
CUST_00074,20.9311,0.0184,0.2339,0.6,0.358,1,0,0.1565,relocation
CUST_00075,43.0501,0.0797,0.0604,0.554,0.4979,1,0,0.0697,travel_pattern
CUST_00076,12.7802,-0.0503,0.3468,0.6391,0.2738,0,0,0.4363,medical_event
CUST_00077,27.3136,-0.2545,0.133,0.7596,0.3144,1,0,0.1643,relocation
CUST_00078,3.0878,-0.0456,0.3348,0.0183,0.1395,0,0,0.4979,education_loan
CUST_00079,2.7884,0.0306,0.4236,0.2944,0.2642,0,0,0.3076,education_loan
CUST_00080,48.4579,0.1107,0.1514,0.6627,0.3518,0,0,0.1185,travel_pattern
CUST_00081,23.4098,0.1275,0.1713,0.5791,0.2366,1,0,0.1518,travel_pattern
CUST_00082,22.4131,-0.0071,0.2962,0.6546,0.0452,0,0,0.5556,medical_event
CUST_00083,23.9233,-0.0675,0.006,0.606,0.4263,0,1,0.0519,digital_shift
CUST_00084,13.0274,0.0929,0.0437,0.5326,0.6126,0,0,0.1669,digital_shift
CUST_00085,17.3485,0.0413,0.2132,0.6955,0.173,1,0,0.1443,travel_pattern
CUST_00086,43.9825,0.0227,0.3287,0.5114,0.4641,0,0,0.1637,marriage
CUST_00087,23.8934,0.3929,0.0388,0.0867,0.2392,0,1,0.1213,salary_hike
CUST_00088,9.3944,0.0605,0.2266,0.12,0.2423,0,1,0.1574,retirement_approach
CUST_00089,27.8344,0.0331,0.2793,0.493,0.2704,0,0,0.3026,new_child
CUST_00090,15.2119,0.4612,0.2343,0.6816,0.2959,0,0,0.0896,job_change
CUST_00091,38.7823,-0.0413,0.156,0.4081,0.0651,0,0,0.4057,new_child
CUST_00092,25.4378,-0.0199,0.3452,0.7387,0.099,0,0,0.5255,medical_event
CUST_00093,61.5249,0.7905,0.1476,0.1258,0.151,0,1,0.2761,windfall_bonus
CUST_00094,25.5761,-0.0867,0.2503,0.475,0.0061,0,0,0.3665,new_child
CUST_00095,17.1502,-0.0499,0.4651,0.3231,0.0041,0,0,0.202,vehicle_purchase
CUST_00096,18.4969,0.0977,0.3765,0.3652,0.2843,0,0,0.2418,vehicle_purchase
CUST_00097,2.0366,0.0184,0.4872,0.2777,0.0423,0,0,0.4684,education_loan
CUST_00098,28.7346,0.3679,0.1938,0.6608,0.5028,0,0,0.094,job_change
CUST_00099,46.7415,0.7342,0.0949,0.0749,0.269,0,1,0.1589,windfall_bonus
CUST_00100,36.8378,0.1106,0.2151,0.4891,0.5952,0,0,0.0686,marriage
CUST_00101,17.6994,0.2786,0.0238,0.7063,0.5467,0,0,0.1805,job_change
CUST_00102,12.1616,-0.1809,0.3791,0.4639,0.1443,0,0,0.2019,vehicle_purchase
CUST_00103,19.4031,0.1144,0.1018,0.6404,0.4151,1,0,0.064,relocation
CUST_00104,25.8163,-0.0934,0.4085,0.4336,0.1414,0,0,0.2723,vehicle_purchase
CUST_00105,36.1514,0.5383,0.1482,0.1257,0.0428,0,1,0.1366,salary_hike
CUST_00106,32.3816,0.0446,0.1928,0.6998,0.4068,1,0,0.1201,relocation
CUST_00107,17.4764,0.0596,0.4404,0.4743,0.0071,0,0,0.3134,vehicle_purchase
CUST_00108,31.5858,0.2478,0.1736,0.6034,0.2594,1,0,0.0894,travel_pattern
CUST_00109,11.2476,-0.1692,0.4017,0.684,0.078,0,0,0.4258,medical_event
CUST_00110,9.8596,0.0352,0.1848,0.5202,0.3499,0,0,0.1405,digital_shift
CUST_00111,13.483,-0.2269,0.4304,0.5104,0.2631,0,0,0.3976,medical_event
CUST_00112,3.0404,-0.1189,0.3246,0.09,0.0445,0,0,0.4134,education_loan
CUST_00113,16.8488,-0.1132,0.1047,0.5566,0.3386,1,0,0.0674,relocation
CUST_00114,18.3208,0.1752,0.3869,0.5495,0.2915,0,0,0.6241,medical_event
CUST_00115,43.6722,-0.0132,0.1988,0.6833,0.258,0,0,0.3708,new_child
CUST_00116,18.2776,0.4131,0.2106,0.6639,0.489,0,0,0.1334,job_change
CUST_00117,30.2065,0.5482,0.1065,0.5163,0.3135,0,0,0.1068,job_change
CUST_00118,27.9139,0.1176,0.1786,0.3649,0.0382,0,0,0.4758,new_child
CUST_00119,12.2218,-0.0537,0.3825,0.5555,0.2417,0,0,0.3078,vehicle_purchase
CUST_00120,17.9664,0.0972,0.38,0.2791,0.2631,0,0,0.3648,vehicle_purchase
CUST_00121,46.767,0.5076,0.2275,0.1653,0.1185,0,1,0.1928,salary_hike
CUST_00122,22.2338,0.0257,0.1959,0.6313,0.4032,0,1,0.1449,digital_shift
CUST_00123,28.9314,0.0331,0.2344,0.3635,0.2221,0,0,0.1948,vehicle_purchase
CUST_00124,25.9508,0.0864,0.207,0.4969,0.2076,0,0,0.3558,medical_event
CUST_00125,-11.0057,-0.122,0.0753,0.012,0.2902,0,0,0.1934,retirement_approach
CUST_00126,26.6707,0.0742,0.3694,0.5031,0.1979,0,0,0.5301,medical_event
CUST_00127,7.8982,0.1933,0.1046,0.4379,0.3354,0,1,0.062,digital_shift
CUST_00128,10.2869,0.0615,0.2952,0.5109,0.2963,0,0,0.2697,vehicle_purchase
CUST_00129,-1.2252,0.0237,0.4662,0.2311,0.0076,0,0,0.355,education_loan
CUST_00130,35.5943,0.0537,0.0282,0.753,0.4964,1,0,0.1577,relocation
CUST_00131,24.6015,0.5832,0.2277,0.1276,0.0523,0,0,0.1211,salary_hike
CUST_00132,23.6825,0.0867,0.3159,0.549,0.1065,0,0,0.4046,medical_event
CUST_00133,37.1056,0.1425,0.1887,0.4974,0.0496,0,0,0.4134,medical_event
CUST_00134,45.0859,-0.0463,0.2255,0.6267,0.016,0,0,0.4098,new_child
CUST_00135,40.4535,0.083,0.1762,0.5678,0.1483,0,0,0.4006,new_child
CUST_00136,26.0166,0.0578,0.4861,0.2783,0.1144,0,0,0.3402,vehicle_purchase
CUST_00137,41.1272,0.4773,0.0656,0.4513,0.4051,0,0,0.142,job_change
CUST_00138,23.5073,-0.0118,0.3832,0.5402,0.1858,0,0,0.3462,vehicle_purchase
CUST_00139,68.592,0.6218,0.1227,0.0011,0.0627,0,1,0.1996,windfall_bonus
CUST_00140,13.0102,-0.0983,0.4486,0.3722,0.1099,0,0,0.4267,vehicle_purchase
CUST_00141,66.8705,0.7692,0.0562,0.2791,0.2485,0,1,0.1017,windfall_bonus
CUST_00142,28.9253,0.0108,0.064,0.5397,0.2976,1,0,0.093,relocation
CUST_00143,41.1486,0.5038,0.0504,0.122,0.0504,0,0,0.2412,salary_hike
CUST_00144,22.1189,0.5951,0.2299,0.6324,0.4909,0,0,0.1707,job_change
CUST_00145,-6.9478,0.0418,0.1306,0.2872,0.2907,0,1,0.1821,retirement_approach
CUST_00146,41.6932,-0.0703,0.1135,0.5785,0.4285,0,0,0.1031,travel_pattern
CUST_00147,44.1499,0.4063,0.0578,0.2705,0.1612,0,1,0.1293,salary_hike
CUST_00148,34.6313,0.3796,0.1808,0.5258,0.4236,0,0,0.1154,job_change
CUST_00149,40.2009,0.5788,0.1709,0.1566,0.261,0,0,0.1238,salary_hike
CUST_00150,36.6619,0.0316,0.3477,0.6864,0.0812,0,0,0.4648,medical_event
CUST_00151,36.4581,0.1883,0.0548,0.6816,0.387,1,0,0.1994,travel_pattern
CUST_00152,-6.5753,-0.1201,0.1229,0.234,0.2229,0,1,0.1603,retirement_approach
CUST_00153,3.981,-0.0417,0.0983,0.0625,0.1816,0,1,0.0753,retirement_approach
CUST_00154,1.799,0.0585,0.3328,0.0545,0.1016,0,0,0.5818,education_loan
CUST_00155,35.6262,0.0568,0.0254,0.5151,0.2118,0,0,0.122,travel_pattern
CUST_00156,40.4555,0.0047,0.2657,0.5494,0.1527,0,0,0.5331,medical_event
CUST_00157,53.8785,-0.0022,0.2228,0.7388,0.3275,0,0,0.0529,travel_pattern
CUST_00158,1.8938,-0.0129,0.1035,0.2134,0.1079,0,1,0.1378,retirement_approach
CUST_00159,56.246,0.7884,0.1678,0.0657,0.2501,0,1,0.2307,windfall_bonus
CUST_00160,40.6649,-0.0182,0.0184,0.6699,0.2746,0,0,0.1661,travel_pattern
CUST_00161,21.5525,-0.0296,0.2353,0.4824,0.6038,0,1,0.0779,digital_shift
CUST_00162,36.9288,0.6172,0.0846,0.1894,0.2165,0,1,0.2394,salary_hike
CUST_00163,54.985,0.5954,0.1866,0.1488,0.1446,0,1,0.1223,windfall_bonus
CUST_00164,5.536,0.0796,0.5035,0.0187,0.0107,0,0,0.4861,education_loan
CUST_00165,39.1306,0.7355,0.162,0.1567,0.1551,0,0,0.3094,windfall_bonus
CUST_00166,62.1037,0.8862,0.1231,0.1278,0.2577,0,1,0.1752,windfall_bonus
CUST_00167,6.0432,0.0906,0.42,0.2277,0.1208,0,0,0.5219,education_loan
CUST_00168,21.5414,-0.0404,0.3029,0.4535,0.0102,0,0,0.4775,new_child
CUST_00169,39.2048,0.0116,0.1333,0.6037,0.5224,1,0,0.1953,relocation
CUST_00170,16.2757,-0.1624,0.2749,0.5368,0.2182,0,0,0.5053,new_child
CUST_00171,25.6626,-0.0255,0.0758,0.6595,0.3665,0,0,0.1801,travel_pattern
CUST_00172,24.6937,0.236,0.2434,0.5186,0.269,1,0,0.0535,travel_pattern
CUST_00173,25.5096,0.2755,0.1348,0.6506,0.5873,0,0,0.0767,job_change
CUST_00174,51.1781,0.8298,0.238,0.0861,0.0749,0,1,0.3203,windfall_bonus
CUST_00175,28.5456,0.0123,0.1311,0.5622,0.3703,1,0,0.079,relocation
CUST_00176,25.3923,0.7307,0.1053,0.2106,0.2758,0,1,0.2448,windfall_bonus
CUST_00177,21.0667,0.2151,0.0815,0.5423,0.2577,1,0,0.1835,travel_pattern
CUST_00178,34.5404,0.1156,0.1933,0.5704,0.4165,0,0,0.129,travel_pattern
CUST_00179,21.2765,0.039,0.3218,0.4079,0.231,0,0,0.3034,vehicle_purchase
CUST_00180,2.1709,-0.0222,0.4623,0.2697,0.1536,0,0,0.4151,education_loan
CUST_00181,-8.5926,-0.1297,0.216,0.1895,0.2753,0,0,0.072,retirement_approach
CUST_00182,59.4275,0.4844,0.1393,0.186,0.2143,0,0,0.2757,windfall_bonus
CUST_00183,0.9144,-0.1357,0.0862,0.1064,0.1598,0,0,0.0978,retirement_approach
CUST_00184,12.405,-0.1074,0.1207,0.6273,0.5583,0,0,0.0721,digital_shift
CUST_00185,1.9424,-0.1471,0.1556,0.0901,0.2046,0,1,0.019,retirement_approach
CUST_00186,19.2595,-0.0915,0.0635,0.7065,0.48,0,0,0.1091,digital_shift
CUST_00187,-1.6893,0.0766,0.3601,0.1944,0.0973,0,0,0.3017,education_loan
CUST_00188,22.346,-0.0384,0.0301,0.6657,0.5305,0,0,0.1872,digital_shift
CUST_00189,35.0251,0.054,0.153,0.7391,0.3555,1,0,0.0908,travel_pattern
CUST_00190,37.2007,0.303,0.0616,0.7795,0.4088,0,0,0.1484,job_change
CUST_00191,35.8193,-0.0501,0.3498,0.743,0.1249,0,0,0.4155,new_child
CUST_00192,29.7445,-0.0945,0.0597,0.5085,0.381,1,0,0.1078,relocation
CUST_00193,49.7025,-0.0047,0.4983,0.5318,0.3559,0,0,0.1453,marriage
CUST_00194,24.0552,0.4994,0.2347,0.562,0.4143,0,0,0.0664,job_change
CUST_00195,30.0786,0.4167,0.0976,0.0487,0.1195,0,0,0.1992,salary_hike
CUST_00196,30.2634,0.574,0.1596,0.1908,0.0812,0,0,0.2692,salary_hike
CUST_00197,40.504,0.0573,0.181,0.5149,0.1701,0,0,0.5402,medical_event
CUST_00198,34.2771,-0.0758,0.1903,0.6126,0.2413,0,0,0.4296,new_child
CUST_00199,13.3474,-0.0113,0.0777,0.5228,0.4676,0,1,0.1818,digital_shift
CUST_00200,55.5224,0.7723,0.0553,0.2364,0.2795,0,0,0.093,windfall_bonus
CUST_00201,31.0743,0.5401,0.1594,0.4885,0.4525,0,0,0.1204,job_change
CUST_00202,28.8677,0.028,0.2205,0.4271,0.263,0,0,0.4514,medical_event
CUST_00203,38.3035,0.0375,0.0291,0.6821,0.3966,1,0,0.0752,travel_pattern
CUST_00204,-2.5796,-0.0239,0.5083,0.2002,0.0448,0,0,0.4666,education_loan
CUST_00205,48.0291,0.0152,0.245,0.5502,0.1281,0,0,0.5101,medical_event
CUST_00206,8.6837,-0.1401,0.0634,0.1381,0.1146,0,1,0.0553,retirement_approach
CUST_00207,19.0023,-0.0862,0.109,0.5501,0.3303,1,0,0.0579,relocation
CUST_00208,48.2503,0.042,0.3441,0.5555,0.5738,0,0,0.1547,marriage
CUST_00209,29.817,0.4879,0.2323,0.7775,0.3187,0,0,0.1486,job_change
CUST_00210,21.9822,-0.0947,0.2706,0.4694,0.1922,0,0,0.5254,medical_event
CUST_00211,21.1179,0.0344,0.1708,0.7703,0.4536,1,0,0.1437,relocation
CUST_00212,12.6381,0.0545,0.361,0.3299,0.2994,0,0,0.3127,vehicle_purchase
CUST_00213,23.5792,-0.0035,0.2495,0.5227,0.4806,0,0,0.1359,digital_shift
CUST_00214,6.2849,-0.0106,0.1254,0.2738,0.1035,0,0,0.0667,retirement_approach
CUST_00215,42.6896,0.6223,0.0298,0.2782,0.2958,0,0,0.1866,salary_hike
CUST_00216,30.6459,0.091,0.3622,0.4574,0.1985,0,0,0.4916,new_child
CUST_00217,31.3497,-0.0549,0.2077,0.5318,0.4607,0,0,0.1352,marriage
CUST_00218,19.6037,-0.0423,0.0594,0.6233,0.5034,0,0,0.1006,digital_shift
CUST_00219,38.97,-0.009,0.1811,0.4626,0.2451,0,0,0.351,medical_event
CUST_00220,23.0214,-0.0974,0.0758,0.448,0.5,0,1,0.0888,digital_shift
CUST_00221,30.0517,-0.1408,0.1979,0.6648,0.1407,0,0,0.5535,medical_event
CUST_00222,-0.2693,-0.1445,0.2167,0.1734,0.1713,0,1,0.1713,retirement_approach
CUST_00223,17.5838,-0.1607,0.4496,0.3683,0.2347,0,0,0.4264,vehicle_purchase
CUST_00224,19.9799,0.5349,0.2285,0.6909,0.623,0,0,0.1461,job_change
CUST_00225,21.631,-0.0402,0.2176,0.619,0.1904,0,0,0.4927,medical_event
CUST_00226,-8.9986,-0.1073,0.0385,0.175,0.0224,0,0,0.1974,retirement_approach
CUST_00227,40.2927,0.5847,0.1817,0.0113,0.1153,0,1,0.1562,salary_hike
CUST_00228,22.8856,-0.1915,0.2051,0.7138,0.5001,1,0,0.1423,relocation
CUST_00229,-4.5423,-0.0822,0.4671,0.0008,0.0857,0,0,0.4658,education_loan
CUST_00230,1.7387,-0.0363,0.4302,0.1142,0.0737,0,0,0.2801,education_loan
CUST_00231,31.6538,-0.07,0.2708,0.3858,0.0152,0,0,0.3463,vehicle_purchase
CUST_00232,28.2111,0.0174,0.2776,0.4671,0.0069,0,0,0.4425,medical_event
CUST_00233,50.8689,-0.1433,0.4171,0.7798,0.5856,0,0,0.1237,marriage
CUST_00234,52.5864,0.6433,0.105,0.0418,0.223,0,1,0.1363,salary_hike
CUST_00235,26.7905,-0.1028,0.2245,0.5192,0.1026,0,0,0.5952,medical_event
CUST_00236,30.2321,0.6503,0.0428,0.1414,0.1376,0,1,0.2347,salary_hike
CUST_00237,19.2068,0.4218,0.0303,0.2619,0.2585,0,0,0.1922,salary_hike
CUST_00238,52.7197,0.7693,0.2406,0.288,0.1678,0,1,0.165,windfall_bonus
CUST_00239,8.8413,-0.0974,0.1864,0.5816,0.578,0,1,0.113,digital_shift
CUST_00240,22.9869,-0.0442,0.1627,0.753,0.2598,1,0,0.1725,relocation
CUST_00241,42.2072,-0.0757,0.3429,0.5868,0.634,0,0,0.1366,marriage
CUST_00242,3.3923,0.0043,0.2022,0.1639,0.161,0,0,0.0994,retirement_approach
CUST_00243,33.9472,0.6281,0.1755,0.7104,0.588,0,0,0.1656,job_change
CUST_00244,27.0394,-0.1391,0.1304,0.4478,0.0776,0,0,0.4885,new_child
CUST_00245,5.4572,-0.0964,0.3484,0.0012,0.0513,0,0,0.3229,education_loan
CUST_00246,59.9685,0.8929,0.0604,0.0971,0.0127,0,0,0.2936,windfall_bonus
CUST_00247,-3.7803,-0.0369,0.1793,0.1156,0.2636,0,0,0.1568,retirement_approach
CUST_00248,27.7437,0.1084,0.287,0.4828,0.2535,0,0,0.4481,new_child
CUST_00249,33.8995,0.4155,0.1776,0.5722,0.461,0,0,0.1402,job_change
CUST_00250,32.914,-0.0809,0.0534,0.5979,0.4169,0,0,0.169,travel_pattern
CUST_00251,39.4932,0.1054,0.2088,0.5725,0.4589,1,0,0.0974,relocation
CUST_00252,14.5141,0.0509,0.3245,0.4689,0.1463,0,0,0.3247,vehicle_purchase
CUST_00253,28.0396,0.6581,0.2325,0.0907,0.1033,0,1,0.2954,salary_hike
CUST_00254,20.8948,0.5565,0.0564,0.6285,0.5665,0,0,0.1131,job_change
CUST_00255,19.221,0.1755,0.0835,0.7615,0.2613,0,0,0.1614,job_change
CUST_00256,60.0828,0.712,0.0097,0.178,0.2335,0,1,0.1332,windfall_bonus
CUST_00257,26.4712,0.0403,0.1952,0.6451,0.1897,0,0,0.1518,travel_pattern
CUST_00258,32.3877,0.0338,0.2344,0.717,0.3135,1,0,0.1541,travel_pattern
CUST_00259,29.7465,0.6199,0.0112,0.1527,0.2333,0,0,0.1157,salary_hike
CUST_00260,29.3574,0.1868,0.1578,0.632,0.0115,0,0,0.2573,new_child
CUST_00261,33.3189,-0.0048,0.197,0.5717,0.1329,0,0,0.2067,new_child
CUST_00262,40.5408,0.0318,0.3566,0.4629,0.2658,0,0,0.4282,medical_event
CUST_00263,3.541,-0.1245,0.0048,0.0103,0.2251,0,1,0.0729,retirement_approach
CUST_00264,1.7375,-0.1033,0.1527,0.0251,0.0103,0,1,0.1319,retirement_approach
CUST_00265,47.2411,0.0239,0.2643,0.6545,0.6904,0,0,0.1372,marriage
CUST_00266,2.8979,0.0354,0.0934,0.0909,0.2164,0,1,0.1213,retirement_approach
CUST_00267,20.1761,-0.0387,0.032,0.6992,0.1724,0,0,0.1618,travel_pattern
CUST_00268,16.2172,-0.1036,0.3457,0.4294,0.0404,0,0,0.3059,vehicle_purchase
CUST_00269,58.6138,-0.1133,0.2979,0.7628,0.4971,0,0,0.0747,marriage
CUST_00270,33.8074,0.0789,0.0528,0.7227,0.4334,0,0,0.1471,travel_pattern
CUST_00271,19.2657,-0.0094,0.1758,0.4743,0.4058,0,1,0.1959,digital_shift
CUST_00272,18.3594,-0.0017,0.3126,0.5293,0.6648,0,0,0.0966,marriage
CUST_00273,23.8205,-0.0519,0.3124,0.6245,0.3849,0,0,0.1573,marriage
CUST_00274,1.6057,-0.039,0.2456,0.194,0.1828,0,1,0.1658,retirement_approach
CUST_00275,23.5298,-0.1248,0.3306,0.3282,0.1042,0,0,0.3022,vehicle_purchase
CUST_00276,14.0519,0.1706,0.1914,0.689,0.1832,0,0,0.3454,new_child
CUST_00277,43.3066,-0.0847,0.4414,0.833,0.4615,0,0,0.0548,marriage
CUST_00278,3.5582,0.0386,0.2283,0.5901,0.0314,0,0,0.3349,medical_event
CUST_00279,21.6185,0.4022,0.0403,0.5373,0.3396,0,0,0.1544,job_change
CUST_00280,35.149,-0.0089,0.391,0.4504,0.4007,0,0,0.1743,marriage
CUST_00281,-1.9768,-0.1195,0.015,0.0193,0.0259,0,1,0.0467,retirement_approach
CUST_00282,20.2251,0.1233,0.1116,0.611,0.5304,1,0,0.1035,relocation
CUST_00283,17.1995,0.0601,0.4591,0.318,0.2033,0,0,0.4362,vehicle_purchase
CUST_00284,56.042,-0.1818,0.2984,0.6452,0.5731,0,0,0.1954,marriage
CUST_00285,29.7567,-0.0935,0.3577,0.4638,0.1525,0,0,0.5997,medical_event
CUST_00286,46.2044,-0.009,0.4401,0.8089,0.572,0,0,0.05,marriage
CUST_00287,12.2941,0.1214,0.2538,0.347,0.0263,0,0,0.2375,vehicle_purchase
CUST_00288,42.4981,0.7305,0.1788,0.1485,0.0108,0,0,0.2128,windfall_bonus
CUST_00289,5.8908,-0.0163,0.422,0.1802,0.299,0,0,0.2986,education_loan
CUST_00290,34.773,0.3949,0.2481,0.6312,0.4391,0,0,0.1173,job_change
CUST_00291,37.3154,0.5184,0.0178,0.6838,0.4229,0,0,0.0699,job_change
CUST_00292,44.4289,-0.0491,0.1745,0.3818,0.279,0,0,0.394,new_child
CUST_00293,39.842,0.159,0.1041,0.5909,0.4233,0,0,0.0713,travel_pattern
CUST_00294,-3.3004,0.0807,0.4778,0.2186,0.0989,0,0,0.3639,education_loan
CUST_00295,21.9235,-0.3792,0.122,0.6843,0.505,1,0,0.1045,relocation
